,class_label
20201B227_20200425_030000_55,0
20201B227_20200425_030000_56,0
20201B227_20200425_030000_57,0
20201B227_20200425_030000_58,0
20201B227_20200425_030000_59,0
20201B227_20200425_030000_60,0
20201B227_20200425_030000_61,0
20201B227_20200425_030000_62,0
20201B227_20200425_030000_63,0
20201B227_20200425_030000_64,0
20201B227_20200425_030000_65,0
20201B227_20200425_030000_66,0
20201C47_20200410_040000_1,6
20201C47_20200410_040000_10,6
20201C47_20200410_040000_12,6
20201C47_20200410_040000_13,6
20201C47_20200410_040000_15,6
20201C47_20200410_040000_2,6
20201C47_20200410_040000_3,6
20201C47_20200410_040000_41,3
20201C47_20200410_040000_42,3
20201C47_20200410_040000_5,6
20201C47_20200410_040000_59,1
20201C47_20200410_040000_6,6
20201C47_20200410_040000_7,6
20201C47_20200410_040000_8,6
20201C47_20200410_040000_9,6
20201C47_20200410_050000_1,1
20201C47_20200410_050000_10,2
20201C47_20200410_050000_107,3
20201C47_20200410_050000_11,2
20201C47_20200410_050000_111,0
20201C47_20200410_050000_112,0
20201C47_20200410_050000_113,0
20201C47_20200410_050000_114,0
20201C47_20200410_050000_115,0
20201C47_20200410_050000_116,0
20201C47_20200410_050000_117,0
20201C47_20200410_050000_118,0
20201C47_20200410_050000_119,0
20201C47_20200410_050000_12,2
20201C47_20200410_050000_120,0
20201C47_20200410_050000_121,0
20201C47_20200410_050000_122,0
20201C47_20200410_050000_123,0
20201C47_20200410_050000_124,0
20201C47_20200410_050000_125,0
20201C47_20200410_050000_126,0
20201C47_20200410_050000_127,0
20201C47_20200410_050000_128,0
20201C47_20200410_050000_129,3
20201C47_20200410_050000_13,2
20201C47_20200410_050000_130,3
20201C47_20200410_050000_131,3
20201C47_20200410_050000_132,3
20201C47_20200410_050000_133,3
20201C47_20200410_050000_134,3
20201C47_20200410_050000_135,3
20201C47_20200410_050000_136,3
20201C47_20200410_050000_137,3
20201C47_20200410_050000_14,2
20201C47_20200410_050000_15,2
20201C47_20200410_050000_21,6
20201C47_20200410_050000_22,6
20201C47_20200410_050000_23,6
20201C47_20200410_050000_24,6
20201C47_20200410_050000_25,6
20201C47_20200410_050000_26,6
20201C47_20200410_050000_27,6
20201C47_20200410_050000_28,6
20201C47_20200410_050000_29,6
20201C47_20200410_050000_3,1
20201C47_20200410_050000_30,6
20201C47_20200410_050000_31,6
20201C47_20200410_050000_32,6
20201C47_20200410_050000_33,6
20201C47_20200410_050000_34,6
20201C47_20200410_050000_35,6
20201C47_20200410_050000_36,6
20201C47_20200410_050000_37,6
20201C47_20200410_050000_38,6
20201C47_20200410_050000_39,6
20201C47_20200410_050000_4,2
20201C47_20200410_050000_40,6
20201C47_20200410_050000_41,6
20201C47_20200410_050000_42,6
20201C47_20200410_050000_43,6
20201C47_20200410_050000_44,6
20201C47_20200410_050000_45,6
20201C47_20200410_050000_46,0
20201C47_20200410_050000_47,0
20201C47_20200410_050000_48,0
20201C47_20200410_050000_49,0
20201C47_20200410_050000_5,2
20201C47_20200410_050000_50,0
20201C47_20200410_050000_51,0
20201C47_20200410_050000_52,0
20201C47_20200410_050000_53,0
20201C47_20200410_050000_54,0
20201C47_20200410_050000_55,0
20201C47_20200410_050000_56,0
20201C47_20200410_050000_57,0
20201C47_20200410_050000_58,0
20201C47_20200410_050000_59,0
20201C47_20200410_050000_6,2
20201C47_20200410_050000_60,0
20201C47_20200410_050000_61,0
20201C47_20200410_050000_62,0
20201C47_20200410_050000_63,0
20201C47_20200410_050000_65,0
20201C47_20200410_050000_66,0
20201C47_20200410_050000_67,3
20201C47_20200410_050000_68,3
20201C47_20200410_050000_69,3
20201C47_20200410_050000_7,2
20201C47_20200410_050000_70,3
20201C47_20200410_050000_71,3
20201C47_20200410_050000_72,3
20201C47_20200410_050000_73,3
20201C47_20200410_050000_74,3
20201C47_20200410_050000_76,3
20201C47_20200410_050000_77,3
20201C47_20200410_050000_78,3
20201C47_20200410_050000_79,3
20201C47_20200410_050000_8,2
20201C47_20200410_050000_80,3
20201C47_20200410_050000_81,3
20201C47_20200410_050000_83,3
20201C47_20200410_050000_85,3
20201C47_20200410_050000_86,3
20201C47_20200410_050000_87,3
20201C47_20200410_050000_88,3
20201C47_20200410_050000_89,3
20201C47_20200410_050000_9,2
20201C47_20200410_050000_90,3
20201C47_20200410_050000_91,6
20201C47_20200410_050000_92,6
20201C47_20200410_050000_93,6
20201C47_20200410_050000_94,6
20201C47_20200410_050000_95,6
20201C47_20200410_050000_96,6
20201C47_20200410_050000_97,6
20201C47_20200410_050000_98,6
20201C47_20200410_050000_99,6
20201C47_20200411_040000_0,3
20201C47_20200411_040000_1,3
20201C47_20200411_040000_10,3
20201C47_20200411_040000_11,3
20201C47_20200411_040000_12,3
20201C47_20200411_040000_13,3
20201C47_20200411_040000_14,3
20201C47_20200411_040000_15,3
20201C47_20200411_040000_16,3
20201C47_20200411_040000_17,3
20201C47_20200411_040000_18,3
20201C47_20200411_040000_2,3
20201C47_20200411_040000_3,3
20201C47_20200411_040000_4,3
20201C47_20200411_040000_5,3
20201C47_20200411_040000_6,3
20201C47_20200411_040000_7,3
20201C47_20200411_040000_8,3
20201C47_20200411_040000_9,3
20201C47_20200411_050000_0,3
20201C47_20200411_050000_1,3
20201C47_20200411_050000_10,6
20201C47_20200411_050000_11,6
20201C47_20200411_050000_12,6
20201C47_20200411_050000_13,6
20201C47_20200411_050000_14,6
20201C47_20200411_050000_15,6
20201C47_20200411_050000_16,6
20201C47_20200411_050000_17,6
20201C47_20200411_050000_18,6
20201C47_20200411_050000_19,6
20201C47_20200411_050000_2,3
20201C47_20200411_050000_20,6
20201C47_20200411_050000_21,6
20201C47_20200411_050000_22,6
20201C47_20200411_050000_23,6
20201C47_20200411_050000_24,6
20201C47_20200411_050000_25,6
20201C47_20200411_050000_26,6
20201C47_20200411_050000_27,6
20201C47_20200411_050000_28,0
20201C47_20200411_050000_29,0
20201C47_20200411_050000_3,3
20201C47_20200411_050000_30,0
20201C47_20200411_050000_31,0
20201C47_20200411_050000_32,0
20201C47_20200411_050000_33,0
20201C47_20200411_050000_34,0
20201C47_20200411_050000_35,0
20201C47_20200411_050000_36,0
20201C47_20200411_050000_37,0
20201C47_20200411_050000_38,0
20201C47_20200411_050000_39,0
20201C47_20200411_050000_4,3
20201C47_20200411_050000_40,0
20201C47_20200411_050000_41,0
20201C47_20200411_050000_42,1
20201C47_20200411_050000_43,1
20201C47_20200411_050000_44,1
20201C47_20200411_050000_45,1
20201C47_20200411_050000_46,1
20201C47_20200411_050000_47,1
20201C47_20200411_050000_48,1
20201C47_20200411_050000_49,1
20201C47_20200411_050000_5,3
20201C47_20200411_050000_50,1
20201C47_20200411_050000_51,1
20201C47_20200411_050000_52,1
20201C47_20200411_050000_53,2
20201C47_20200411_050000_54,2
20201C47_20200411_050000_55,2
20201C47_20200411_050000_56,2
20201C47_20200411_050000_57,2
20201C47_20200411_050000_58,2
20201C47_20200411_050000_59,4
20201C47_20200411_050000_6,3
20201C47_20200411_050000_60,4
20201C47_20200411_050000_61,4
20201C47_20200411_050000_62,4
20201C47_20200411_050000_63,4
20201C47_20200411_050000_64,3
20201C47_20200411_050000_65,3
20201C47_20200411_050000_66,4
20201C47_20200411_050000_67,4
20201C47_20200411_050000_69,-1
20201C47_20200411_050000_7,6
20201C47_20200411_050000_74,6
20201C47_20200411_050000_75,6
20201C47_20200411_050000_76,6
20201C47_20200411_050000_77,6
20201C47_20200411_050000_78,6
20201C47_20200411_050000_79,6
20201C47_20200411_050000_8,6
20201C47_20200411_050000_80,6
20201C47_20200411_050000_81,6
20201C47_20200411_050000_82,6
20201C47_20200411_050000_83,3
20201C47_20200411_050000_84,3
20201C47_20200411_050000_85,3
20201C47_20200411_050000_86,3
20201C47_20200411_050000_87,3
20201C47_20200411_050000_88,3
20201C47_20200411_050000_89,3
20201C47_20200411_050000_9,6
20201C47_20200411_050000_90,3
20201C47_20200411_050000_91,3
20201C47_20200411_050000_92,3
20201C47_20200411_050000_93,0
20201C47_20200411_050000_94,0
20201C47_20200411_050000_95,0
20201C47_20200412_040000_0,5
20201C47_20200412_040000_1,5
20201C47_20200412_040000_10,3
20201C47_20200412_040000_11,3
20201C47_20200412_040000_12,3
20201C47_20200412_040000_13,3
20201C47_20200412_040000_14,3
20201C47_20200412_040000_15,3
20201C47_20200412_040000_16,3
20201C47_20200412_040000_17,3
20201C47_20200412_040000_18,3
20201C47_20200412_040000_19,3
20201C47_20200412_040000_2,5
20201C47_20200412_040000_20,3
20201C47_20200412_040000_21,3
20201C47_20200412_040000_22,3
20201C47_20200412_040000_23,3
20201C47_20200412_040000_24,3
20201C47_20200412_040000_25,3
20201C47_20200412_040000_26,3
20201C47_20200412_040000_27,0
20201C47_20200412_040000_28,0
20201C47_20200412_040000_29,0
20201C47_20200412_040000_3,5
20201C47_20200412_040000_30,0
20201C47_20200412_040000_31,0
20201C47_20200412_040000_32,0
20201C47_20200412_040000_33,0
20201C47_20200412_040000_34,0
20201C47_20200412_040000_35,0
20201C47_20200412_040000_36,0
20201C47_20200412_040000_37,0
20201C47_20200412_040000_38,0
20201C47_20200412_040000_39,0
20201C47_20200412_040000_4,5
20201C47_20200412_040000_40,0
20201C47_20200412_040000_41,4
20201C47_20200412_040000_42,4
20201C47_20200412_040000_43,4
20201C47_20200412_040000_44,4
20201C47_20200412_040000_45,4
20201C47_20200412_040000_46,4
20201C47_20200412_040000_47,4
20201C47_20200412_040000_48,6
20201C47_20200412_040000_49,6
20201C47_20200412_040000_5,5
20201C47_20200412_040000_50,6
20201C47_20200412_040000_51,6
20201C47_20200412_040000_52,6
20201C47_20200412_040000_53,6
20201C47_20200412_040000_54,6
20201C47_20200412_040000_55,6
20201C47_20200412_040000_56,6
20201C47_20200412_040000_57,6
20201C47_20200412_040000_7,5
20201C47_20200412_040000_8,3
20201C47_20200412_040000_9,5
20201C47_20200412_050000_0,0
20201C47_20200412_050000_1,0
20201C47_20200412_050000_10,0
20201C47_20200412_050000_13,0
20201C47_20200412_050000_14,0
20201C47_20200412_050000_15,0
20201C47_20200412_050000_16,6
20201C47_20200412_050000_17,6
20201C47_20200412_050000_18,6
20201C47_20200412_050000_19,6
20201C47_20200412_050000_2,0
20201C47_20200412_050000_20,6
20201C47_20200412_050000_21,6
20201C47_20200412_050000_22,6
20201C47_20200412_050000_24,6
20201C47_20200412_050000_25,6
20201C47_20200412_050000_26,6
20201C47_20200412_050000_27,6
20201C47_20200412_050000_28,6
20201C47_20200412_050000_29,6
20201C47_20200412_050000_3,0
20201C47_20200412_050000_30,6
20201C47_20200412_050000_31,6
20201C47_20200412_050000_32,6
20201C47_20200412_050000_33,6
20201C47_20200412_050000_34,6
20201C47_20200412_050000_35,6
20201C47_20200412_050000_36,6
20201C47_20200412_050000_37,6
20201C47_20200412_050000_38,6
20201C47_20200412_050000_39,6
20201C47_20200412_050000_4,0
20201C47_20200412_050000_40,6
20201C47_20200412_050000_5,0
20201C47_20200412_050000_6,0
20201C47_20200412_050000_7,0
20201C47_20200412_050000_8,0
20201C47_20200412_050000_9,0
20201EX78_20200504_040000_21,0
20201EX78_20200504_040000_22,0
20201EX78_20200504_040000_23,0
20201EX78_20200504_040000_6,1
20201EX78_20200504_040000_7,1
20201EX78_20200504_040000_8,1
20201EX78_20200504_040000_9,1
20201EX78_20200504_050000_0,2
20201EX78_20200504_050000_13,2
20201EX78_20200504_050000_14,2
20201EX78_20200504_050000_2,0
20201EX78_20200504_050000_25,1
20201EX78_20200504_050000_3,0
20201EX78_20200504_050000_5,0
20201EX78_20200504_050000_7,0
20201EX78_20200505_040000_1,3
20201EX78_20200505_040000_2,3
20201EX78_20200505_040000_5,3
20201EX78_20200507_040000_0,-1
20201EX78_20200507_040000_29,2
20201EX78_20200507_040000_30,2
20201EX78_20200507_040000_31,2
20201EX78_20200507_040000_35,2
20201EX78_20200507_040000_40,2
20201EX78_20200507_040000_47,2
20201EX78_20200507_040000_5,3
20201EX78_20200507_040000_52,1
20201EX78_20200507_040000_53,1
20201EX78_20200507_040000_54,1
20201EX78_20200507_040000_58,0
20201EX78_20200507_040000_60,1
20201EX78_20200507_040000_61,1
20201EX78_20200507_040000_62,1
20201EX78_20200507_040000_63,1
20201EX78_20200507_040000_64,1
20201EX78_20200507_050000_10,1
20201EX78_20200507_050000_11,1
20201EX78_20200507_050000_12,1
20201EX78_20200507_050000_13,1
20201EX78_20200507_050000_14,1
20201EX78_20200507_050000_15,1
20201EX78_20200507_050000_18,0
20201EX78_20200507_050000_2,0
20201EX78_20200507_050000_20,0
20201EX78_20200507_050000_21,0
20201EX78_20200507_050000_3,0
20201EX78_20200507_050000_4,0
20201EX78_20200507_050000_5,0
20201EX78_20200507_050000_6,0
20201EX78_20200507_050000_8,1
20201EX78_20200507_050000_9,1
20201MP42_20200429_040000_0,0
20201MP42_20200429_040000_1,0
20201MP42_20200429_040000_10,0
20201MP42_20200429_040000_11,0
20201MP42_20200429_040000_13,0
20201MP42_20200429_040000_14,0
20201MP42_20200429_040000_15,0
20201MP42_20200429_040000_16,0
20201MP42_20200429_040000_17,0
20201MP42_20200429_040000_18,0
20201MP42_20200429_040000_19,0
20201MP42_20200429_040000_2,0
20201MP42_20200429_040000_20,0
20201MP42_20200429_040000_21,0
20201MP42_20200429_040000_22,0
20201MP42_20200429_040000_23,0
20201MP42_20200429_040000_24,0
20201MP42_20200429_040000_25,0
20201MP42_20200429_040000_26,0
20201MP42_20200429_040000_27,0
20201MP42_20200429_040000_28,0
20201MP42_20200429_040000_32,0
20201MP42_20200429_040000_33,0
20201MP42_20200429_040000_4,0
20201MP42_20200429_040000_6,0
20201MP42_20200429_040000_7,0
20201MP42_20200429_040000_8,0
20201MP42_20200429_040000_9,0
20201MP42_20200429_050000_1,1
20201MP42_20200429_050000_11,1
20201MP42_20200429_050000_13,1
20201MP42_20200429_050000_14,2
20201MP42_20200429_050000_15,2
20201MP42_20200429_050000_2,1
20201MP42_20200429_050000_4,1
20201MP42_20200429_050000_5,1
20201MP42_20200429_050000_9,1
20201MP42_20200430_040000_1,1
20201MP42_20200430_040000_2,1
20201MP42_20200430_040000_3,1
20201MP42_20200430_040000_5,1
20201MP42_20200430_050000_0,1
20201MP42_20200430_050000_10,0
20201MP42_20200430_050000_11,0
20201MP42_20200430_050000_13,0
20201MP42_20200430_050000_14,0
20201MP42_20200430_050000_15,0
20201MP42_20200430_050000_20,0
20201MP42_20200430_050000_21,2
20201MP42_20200430_050000_22,2
20201MP42_20200430_050000_24,2
20201MP42_20200430_050000_25,2
20201MP42_20200430_050000_28,2
20201MP42_20200430_050000_3,1
20201MP42_20200430_050000_30,2
20201MP42_20200430_050000_33,3
20201MP42_20200430_050000_34,3
20201MP42_20200430_050000_38,2
20201MP42_20200430_050000_42,1
20201MP42_20200430_050000_43,1
20201MP42_20200430_050000_6,0
20201MP42_20200430_050000_8,0
20201MP42_20200430_060000_3,0
20201MP42_20200430_060000_5,0
20201MP42_20200430_060000_6,0
20201MP42_20200430_060000_7,2
20201MP42_20200430_060000_9,2
20201MP42_20200501_040000_1,3
20201MP42_20200501_050000_11,1
20201MP42_20200501_050000_13,1
20201MP42_20200501_050000_14,1
20201MP42_20200501_050000_18,0
20201MP42_20200501_050000_19,0
20201MP42_20200501_050000_20,0
20201MP42_20200501_050000_21,0
20201MP42_20200501_050000_24,0
20201MP42_20200501_050000_25,0
20201MP42_20200501_050000_26,0
20201MP42_20200501_050000_4,2
20201MP42_20200501_050000_5,2
20201MP42_20200501_050000_9,1
20201MP42_20200501_060000_0,0
20201MP42_20200501_060000_1,0
20201MP42_20200501_060000_2,0
20201MP42_20200501_060000_3,0
20201MP42_20200501_060000_4,0
20201MP42_20200502_040000_0,0
20201MP42_20200502_040000_1,0
20201MP42_20200502_040000_2,0
20201MP42_20200502_040000_3,0
20201MP42_20200502_040000_4,0
20201MP42_20200502_050000_1,2
20201MP42_20200502_050000_11,2
20201MP42_20200502_050000_12,2
20201MP42_20200502_050000_15,1
20201MP42_20200502_050000_16,1
20201MP42_20200502_050000_17,1
20201MP42_20200502_050000_19,1
20201MP42_20200502_050000_20,1
20201MP42_20200502_050000_21,1
20201MP42_20200502_050000_22,1
20201MP42_20200502_050000_23,1
20201MP42_20200502_050000_24,1
20201MP42_20200502_050000_25,1
20201MP42_20200502_050000_28,1
20201MP42_20200502_050000_29,3
20201MP42_20200502_050000_31,3
20201MP42_20200502_050000_32,3
20201MP42_20200502_050000_37,3
20201MP42_20200502_050000_40,3
20201MP42_20200502_050000_41,3
20201MP42_20200502_050000_43,0
20201MP42_20200502_050000_45,0
20201MP42_20200502_050000_47,0
20201MP42_20200502_050000_49,0
20201MP42_20200502_050000_5,2
20201MP42_20200502_050000_50,0
20201MP42_20200502_050000_53,0
20201MP42_20200502_050000_57,2
20201MP42_20200502_050000_8,2
20201MP42_20200502_050000_9,2
20201MP42_20200502_060000_10,0
20201MP42_20200502_060000_11,0
20201MP42_20200502_060000_12,0
20201MP42_20200502_060000_15,2
20201MP42_20200502_060000_18,2
20201MP42_20200502_060000_4,2
20201MP42_20200502_060000_5,0
20201MP42_20200502_060000_6,0
20201MP42_20200502_060000_7,0
20201MP42_20200502_060000_8,0
20201MP42_20200502_060000_9,0
20201MP65_20200429_050000_0,2
20201MP65_20200429_050000_4,2
20201MP65_20200429_050000_7,0
20201MP65_20200429_060000_0,1
20201MP65_20200429_060000_1,1
20201MP65_20200429_060000_2,1
20201MP65_20200429_060000_4,1
20201MP65_20200430_040000_0,2
20201MP65_20200430_040000_1,2
20201MP65_20200430_040000_2,2
20201MP65_20200430_040000_3,2
20201MP65_20200430_050000_0,0
20201MP65_20200430_050000_1,0
20201MP65_20200430_060000_10,1
20201MP65_20200430_060000_11,1
20201MP65_20200430_060000_2,0
20201MP65_20200430_060000_9,1
20201MP65_20200501_050000_4,0
20201MP65_20200501_050000_5,0
20201MP65_20200501_050000_7,0
20201MP65_20200501_060000_0,1
20201MP65_20200501_060000_1,1
20201MP65_20200501_060000_10,0
20201MP65_20200501_060000_11,0
20201MP65_20200501_060000_13,0
20201MP65_20200501_060000_14,0
20201MP65_20200501_060000_15,0
20201MP65_20200501_060000_16,0
20201MP65_20200501_060000_17,0
20201MP65_20200501_060000_18,0
20201MP65_20200501_060000_19,0
20201MP65_20200501_060000_20,0
20201MP65_20200501_060000_21,0
20201MP65_20200501_060000_22,0
20201MP65_20200501_060000_23,0
20201MP65_20200501_060000_24,0
20201MP65_20200501_060000_26,2
20201MP65_20200501_060000_27,2
20201MP65_20200501_060000_28,2
20201MP65_20200501_060000_29,2
20201MP65_20200501_060000_3,0
20201MP65_20200501_060000_30,1
20201MP65_20200501_060000_31,1
20201MP65_20200501_060000_32,1
20201MP65_20200501_060000_34,1
20201MP65_20200501_060000_35,1
20201MP65_20200501_060000_36,1
20201MP65_20200501_060000_37,1
20201MP65_20200501_060000_38,1
20201MP65_20200501_060000_39,1
20201MP65_20200501_060000_4,0
20201MP65_20200501_060000_40,1
20201MP65_20200501_060000_41,1
20201MP65_20200501_060000_43,1
20201MP65_20200501_060000_44,1
20201MP65_20200501_060000_45,1
20201MP65_20200501_060000_46,1
20201MP65_20200501_060000_47,1
20201MP65_20200501_060000_48,1
20201MP65_20200501_060000_7,0
20201MP65_20200501_060000_8,0
20201MP65_20200501_060000_9,0
20201MP65_20200502_040000_13,2
20201MP65_20200502_040000_15,-1
20201MP65_20200502_050000_0,2
20201MP68_20200410_040000_1,1
20201MP68_20200410_040000_10,4
20201MP68_20200410_040000_11,4
20201MP68_20200410_040000_13,4
20201MP68_20200410_040000_15,4
20201MP68_20200410_040000_16,4
20201MP68_20200410_040000_17,4
20201MP68_20200410_040000_18,4
20201MP68_20200410_040000_19,4
20201MP68_20200410_040000_2,1
20201MP68_20200410_040000_20,4
20201MP68_20200410_040000_21,4
20201MP68_20200410_040000_22,4
20201MP68_20200410_040000_23,4
20201MP68_20200410_040000_24,4
20201MP68_20200410_040000_3,1
20201MP68_20200410_040000_4,4
20201MP68_20200410_040000_7,4
20201MP68_20200410_050000_0,4
20201MP68_20200410_050000_1,4
20201MP68_20200410_050000_10,4
20201MP68_20200410_050000_11,4
20201MP68_20200410_050000_12,4
20201MP68_20200410_050000_13,4
20201MP68_20200410_050000_14,1
20201MP68_20200410_050000_16,1
20201MP68_20200410_050000_17,1
20201MP68_20200410_050000_18,1
20201MP68_20200410_050000_19,1
20201MP68_20200410_050000_2,4
20201MP68_20200410_050000_20,1
20201MP68_20200410_050000_22,1
20201MP68_20200410_050000_23,1
20201MP68_20200410_050000_24,1
20201MP68_20200410_050000_25,1
20201MP68_20200410_050000_26,1
20201MP68_20200410_050000_27,1
20201MP68_20200410_050000_28,1
20201MP68_20200410_050000_29,1
20201MP68_20200410_050000_3,4
20201MP68_20200410_050000_30,1
20201MP68_20200410_050000_31,1
20201MP68_20200410_050000_32,1
20201MP68_20200410_050000_33,1
20201MP68_20200410_050000_34,1
20201MP68_20200410_050000_35,1
20201MP68_20200410_050000_36,1
20201MP68_20200410_050000_37,1
20201MP68_20200410_050000_38,1
20201MP68_20200410_050000_4,4
20201MP68_20200410_050000_41,1
20201MP68_20200410_050000_42,1
20201MP68_20200410_050000_43,3
20201MP68_20200410_050000_44,3
20201MP68_20200410_050000_45,3
20201MP68_20200410_050000_52,0
20201MP68_20200410_050000_6,4
20201MP68_20200410_050000_7,4
20201MP68_20200410_050000_9,4
20201MP68_20200410_060000_0,1
20201MP68_20200410_060000_1,1
20201MP68_20200410_060000_10,4
20201MP68_20200410_060000_11,4
20201MP68_20200410_060000_2,1
20201MP68_20200410_060000_3,1
20201MP68_20200410_060000_4,1
20201MP68_20200410_060000_5,1
20201MP68_20200410_060000_6,1
20201MP68_20200410_060000_7,1
20201MP68_20200410_060000_8,1
20201MP68_20200410_060000_9,4
20201MP68_20200411_040000_2,1
20201MP68_20200411_040000_20,0
20201MP68_20200411_040000_23,0
20201MP68_20200411_040000_24,0
20201MP68_20200411_040000_25,0
20201MP68_20200411_040000_26,0
20201MP68_20200411_040000_27,0
20201MP68_20200411_040000_28,0
20201MP68_20200411_040000_29,0
20201MP68_20200411_040000_32,0
20201MP68_20200411_040000_33,0
20201MP68_20200411_040000_35,0
20201MP68_20200411_040000_37,0
20201MP68_20200411_040000_38,4
20201MP68_20200411_040000_39,4
20201MP68_20200411_040000_40,4
20201MP68_20200411_040000_41,4
20201MP68_20200411_040000_42,4
20201MP68_20200411_040000_43,4
20201MP68_20200411_040000_44,4
20201MP68_20200411_040000_45,4
20201MP68_20200411_040000_46,4
20201MP68_20200411_040000_47,4
20201MP68_20200411_040000_48,4
20201MP68_20200411_040000_49,4
20201MP68_20200411_040000_5,3
20201MP68_20200411_040000_50,4
20201MP68_20200411_040000_52,4
20201MP68_20200411_040000_53,4
20201MP68_20200411_040000_54,4
20201MP68_20200411_040000_55,4
20201MP68_20200411_040000_56,4
20201MP68_20200411_040000_57,4
20201MP68_20200411_040000_58,4
20201MP68_20200411_040000_59,4
20201MP68_20200411_040000_60,4
20201MP68_20200411_040000_61,4
20201MP68_20200411_040000_62,4
20201MP68_20200411_040000_63,4
20201MP68_20200411_040000_64,4
20201MP68_20200411_040000_65,4
20201MP68_20200411_040000_66,4
20201MP68_20200411_040000_67,4
20201MP68_20200411_040000_68,4
20201MP68_20200411_040000_69,4
20201MP68_20200411_040000_70,4
20201MP68_20200411_040000_71,1
20201MP68_20200411_040000_72,1
20201MP68_20200411_040000_73,1
20201MP68_20200411_040000_74,1
20201MP68_20200411_040000_75,1
20201MP68_20200411_040000_76,1
20201MP68_20200411_040000_77,1
20201MP68_20200411_040000_78,1
20201MP68_20200411_040000_79,1
20201MP68_20200411_040000_80,1
20201MP68_20200411_040000_81,1
20201MP68_20200411_040000_82,1
20201MP68_20200411_040000_83,1
20201MP68_20200411_040000_84,4
20201MP68_20200411_040000_85,4
20201MP68_20200411_040000_86,4
20201MP68_20200411_040000_87,4
20201MP68_20200411_040000_88,5
20201MP68_20200411_040000_89,5
20201MP68_20200411_040000_90,5
20201MP68_20200411_040000_91,2
20201MP68_20200411_040000_92,2
20201MP68_20200411_040000_93,2
20201MP68_20200411_040000_95,2
20201MP68_20200411_050000_0,1
20201MP68_20200411_050000_1,1
20201MP68_20200411_050000_10,1
20201MP68_20200411_050000_100,1
20201MP68_20200411_050000_101,1
20201MP68_20200411_050000_102,1
20201MP68_20200411_050000_103,1
20201MP68_20200411_050000_104,1
20201MP68_20200411_050000_105,1
